"Category Name","Category Status","Feature Name","Feature Status",Notes,"Feature ID",Importance,"Times per Year","Cost per time","Hours per time","Feature EOI"
"Contact Database",Incomplete,"Contact Database can include both member and non-member details",No,,1,"Nice to have",,,,
"Contact Database",Incomplete,"The data that needs to be stored for each contact can be configured",No,,2,"Nice to have",,,,
"Contact Database",Incomplete,"The Contact Database provides multiple levels of hierarchy e.g. Organisation, Division, Contact",No,,3,"Nice to have",,,,
"Contact Database",Incomplete,"The Contact Database can be searched, filtered and segmented in a number of different ways",No,,9,"Nice to have",,,,
"Contact Database",Incomplete,"Via the Contact Database a person\'s complete relationship with the organisation can be viewed e.g. membership(s), event registrations, online store purchases, email communications",No,,10,"Nice to have",,,,
"Membership management",Incomplete,"Membership pricing can be configured including early bird discounts, joining fee, late fee",No,,4,"Nice to have",,,,
"Membership management",Incomplete,"Pro-rata membership pricing is available for a number of time periods, e.g. daily, quarterly",No,,11,"Nice to have",,,,
"Membership management",Incomplete,"Memberships can be administered and reported by subsets (e.g. by division or state)",No,,12,"Nice to have",,,,
"Membership management",Incomplete,"Memberships can be processed through a number of different statuses reflecting the organisation\'s administration processes",No,,13,"Nice to have",,,,
"Membership Application",Incomplete,"Individuals can apply for membership",No,,5,"Nice to have",,,,
"Membership Application",Incomplete,"Where appropriate fees can be paid via the website",No,,14,"Nice to have",,,,
"Membership Application",Incomplete,"Corporations can apply for membership and nominate employees to receive membership benefits",No,,15,"Nice to have",,,,
"Membership Application",Incomplete,"A range of membership types are supported",No,,16,"Nice to have",,,,
"Membership renewal",Incomplete,"Automated communications to member through renewal workflow are supported -e.g. renewal reminder, renewal acknowledgement",No,,6,"Nice to have",,,,
"Membership renewal",Incomplete,"Payments for renewals collected online, and invoices generated",No,,17,"Nice to have",,,,
"Membership renewal",Incomplete,"Early Bird renewal pricing is available",No,,18,"Nice to have",,,,
"Member Services/benefits",Incomplete,"Members can update there own details at any time",No,,7,"Nice to have",,,,
"Member Services/benefits",Incomplete,"The details that members can update can be configured to be a subset of total contact database information",No,,19,"Nice to have",,,,
"Member Services/benefits",Incomplete,"Different levels of memberships can have access to different information/services",No,,20,"Nice to have",,,,
"Marketing Communications",Incomplete,"Different subsets of members can be targeted based on membership type",No,,8,"Nice to have",,,,
"Member Directory",Incomplete,"Members receive directory listings as part of their membership benefits",No,,22,"Nice to have",,,,
"Events Registration",Incomplete,"Events can be quicklyand easily published onto the website",No,,23,"Nice to have",,,,
"Event Administration",Incomplete,"The details to be captured for an event can be configured and presented to the end user in a consistent layout",No,,24,"Nice to have",,,,
"Online Store",Incomplete,"Any number of categories/subcategories of products can be defined",No,,43,"Nice to have",,,,
"Online Store",Incomplete,"Details presented about each product can be configured",No,,44,"Nice to have",,,,
"Online Store",Incomplete,"Different groups of users (e.g. members) can receive different store pricing to other groups (e.g.non-members)",No,,45,"Nice to have",,,,
