"Category Name","Category Status","Feature Name","Feature Status",Notes,"Feature ID",Importance,"Times per Year","Cost per time","Hours per time","Feature EOI","Stakeholder Group1","Stakeholder Group2","Stakeholder Group3","Stakeholder Group4","Stakeholder Group5","Stakeholder Group6"
"Contact Database",Inscope,"Contact Database can include both member and non-member details",No,,1,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Contact Database",Inscope,"The data that needs to be stored for each contact can be configured",No,,2,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Contact Database",Inscope,"The Contact Database provides multiple levels of hierarchy e.g. Organisation, Division, Contact",No,,3,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Contact Database",Inscope,"The Contact Database can be searched, filtered and segmented in a number of different ways",No,,9,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Contact Database",Inscope,"Via the Contact Database a person\'s complete relationship with the organisation can be viewed e.g. membership(s), event registrations, online store purchases, email communications",No,,10,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Contact Database",Inscope,"Subsets of the Contact Database can be exported for use externally",No,,75,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership management",Complete,"Membership pricing can be configured including early bird discounts, joining fee, late fee",No,,4,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership management",Complete,"Pro-rata membership pricing is available for a number of time periods, e.g. daily, quarterly",No,,11,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership management",Complete,"Memberships can be administered and reported by subsets (e.g. by division or state)",No,,12,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership management",Complete,"Membership bestows post-nominals on member",No,,77,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership management",Complete,"Memberships can be processed through a number of different statuses reflecting the organisation\'s administration processes",Yes,,13,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership management",Complete,"A range of membership related reports are available",Yes,"We require membership reports showing number of members, eg by state and what they grow.",76,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership Application",Complete,"Members can elect to include optional extras to their application e.g. sign up for Special Interest Groups",Yes,,79,Mandatory,,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership Application",Complete,"Individuals can apply for membership",No,,5,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership Application",Complete,"Where appropriate fees can be paid via the website",Yes,,14,"Important ",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership Application",Complete,"Corporations can apply for membership and nominate employees to receive membership benefits",No,,15,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
"Membership Application",Complete,"A range of membership types are supported",No,,16,"Nice to have",,,,,"APAL staff","APAL Board","APAL members","Levy payers apple and pear",HAL,Partners
